Action Name,Title,Description,Where&When,Category,Subcategory,Helptext,Avg points,Questions,Picture,Information,Stations
energy_fair,Sustainability event,"Attend energy or sustainability fair, to find ways to take sustainable action",Multiple,Activism & Education,Activism,Attending an energy fair is a great way to get started lowering energy use.,15.0,"attend_fair,own_rent,fuel_assistance,activity_group",,"Although the action in itself does not lead to emission savings, it leads to a small point allocation because we know you will do something!","Welcome_1,Welcome_CCH,All_Actions_ME"
activism,Activism,"Voter registration, petition, protest, organize",Multiple,Activism & Education,Activism,,,,,,
campaign,Publicity campaign,Execute a local publicity campaign on a climate or sustainability issue,Multiple,Activism & Education,Activism,,,,,,
local_decision,Local decisions,Vote in local elections or participate in a local town meeting or government decision-making,Multiple,Activism & Education,Activism,,,,,,
investing,Investing,Take financial action to benefit the climate.,Annual,Activism & Education,Investing,,,,,,
get_involved,Get involved,Join a group,Multiple,Activism & Education,Activism,,,,,,
carbon_footprint,Carbon footprint,Calculate your carbon footprint.,Multiple,Activism & Education,Education,,,,,,
market_green_home,Market my green home,"If selling your home, market your clean energy investments in the property",Home actions,Activism & Education,Marketing Green Home,,,,,,
local_govt,Your local government,"Tell your local government your climate and sustainability values through an email, petition, attend a meeting, etc.",Multiple,Activism & Education,Activism,,,,,,
sustain_school,Education,Promote sustainability in schools,Multiple,Activism & Education,Education,,,,,,
learn,Learn about sustainability,"Learning about climate, environment and sustainability",Multiple,Activism & Education,Education,,,,,,
environmental_stewardship,Protect the environment,Get involved with environmental stewardship organizations or activities,Multiple,Activism & Education,Activism,,,,,,
environmental_justice,Environmental justice,Get involved in environmental justice and equity,Behavioral,Activism & Education,Activism,,,,,,
activities_for_kids,Activities for kids,Fun environmental sustainable activities for children,Multiple,Activism & Education,Education,,,,,,
help_community,Help our community effort,Get involved with the group hosting this website,Behavioral,Activism & Education,Activism,,,,,,
renewable_elec,Renewable electricity,Switch to renewable electricity,Annual,Electricity and Solar,Renewable grid,Choosing renewable electricity reduces or eliminates greenhouse gas emissions from the power you use.,3714.0,"monthly_elec,electric_utility",,,"Electricity_Use_1,All_Actions_ME"
community_solar,Community solar,Sign up for community solar,Annual,Electricity and Solar,Solar,Joining a community solar project can save on your electric bill and lower greenhouse gas emissions.,3714.0,"monthly_elec,electric_utility",,,"Solar_1,Solar_CCH,All_Actions_ME"
install_solarPV,Install solar PV,Install a solar PV array,Home actions,Electricity and Solar,Solar,"Installing a solar PV array  can reduce your carbon footprint dramatically, and save considerable money over time.",5494.0,solar_potential,,,"Solar_1,Solar_CCH,All_Actions_ME"
solar_assessment,Solar assessment,Request a solar assessment,Home actions,Electricity and Solar,Solar,Getting a solar assessment can help you plan for a solar PV or solar hot water system to reduce emissions and lower cost.,15.0,solar_potential,,,"Solar_1,Solar_CCH,All_Actions_ME"
EV_charger,EV charger,Install an EV charger,Home actions,Electricity and Solar,Time of use,,,,,,
opt_up_RE,Opt-up renewable electricity,Opt up to purchase more renewable electricity,Annual,Electricity and Solar,Renewable grid,,,,,,
muni_aggregation,Municipal aggregation,Your community has community choice electricity,Home actions,Electricity and Solar,Renewable grid,,,,,,
shave_peak,Shave the peak,Reduce peak electric loads.,"Behavioral,Daily",Electricity and Solar,Time of use,,,,,,
battery,Battery storage,Battery storage for your home or business,Home actions,Electricity and Solar,Renewable grid,,,,,,
low_carbon_diet,Low carbon diet,Adopt a lower carbon diet,"Behavioral,Daily",Food,Low carbon diet,Adopting a diet with less or no meat lowers emissions and can improve your health.,1417.0,"eating_switch_meals,family_size,meat_frequency,eating_switch_meals_amount",,,"Eating_1,Eating_CCH,All_Actions_ME"
eat_locally,Eat locally,Join a CSA or grow your own food,"Behavioral,Monthly",Food,Eat local,Eating locally sourced food has many benefits for community resiliency and reducing emissions,42.5,,,,All_Actions_ME
grow_local,Grow local,Grow food in a yard or community garden plot,Annual,Food,Grow local,,,,,,
energy_audit,Home energy audit,"Sign up for an energy audit, offered free from MassSave and local utilities",Home actions,Home Energy,Audits & assessments,"An energy audit can tell you the condition of your home and its heating and other systems, and help you address the issues found.",15.0,"energy_audit_recently,heating_fuel,electric_utility",,Taking the step to get an energy audit generally leads to a medium level of emissions savings; follow through with the recommended measures to earn a higher point score.,"Heating_Cooling_1,Heating_Cooling_CCH,All_Actions_ME"
prog_thermostats,Thermostats,Install smart or programmable thermostats,"Home actions,Multiple",Home Energy,Heating / cooling,Installing and using a programmable thermostat typically saves 15% from your heating bill.,421.0,"have_pstats,pstats_programmed,heating_fuel",,,"Heating_Cooling_1,All_Actions_ME"
hp_water_heater,Heat pump water heater,Install a heat pump water heater,Home actions,Home Energy,Heating / cooling,"A heat pump water heater uses about 1/3 the energy of an electric or fossil water heater, reducing emissions and saving money.",879.0,"water_heater_type,water_heater_age",,,"Water_Heating_1,All_Actions_ME"
coldwater_wash,Cold water wash,Wash clothes using cold or warm water,"Behavioral,Weekly",Home Energy,Home energy use,"Washing clothes in warm or cold water saves energy and money, and works as well as hot.",68.0,washer_loads,,,"Electricity_Use_1,All_Actions_ME"
led_lighting,LED lighting,Install LED light bulbs,"Home actions,Multiple",Home Energy,Lights / plug load,Swapping out incandescent bulbs for LEDs reduces their electricity consumption by 88%.,624.0,"bulbs_incandescent,bulbs_replace_leds",,,"Electricity_Use_1,Electricity_CCH,All_Actions_ME"
smart_power_strip,Smart power strip,Install and use a smart power strip,"Home actions,Multiple",Home Energy,Lights / plug load,A smart power strip can save on parasitic loads by shutting off devices when they aren't being used.,92.0,smart_power_strips,,,All_Actions_ME
