Variable,Locality,Value,Reference,Valid Date,Updated
buy_bulk_co2,default,100,Default value without reference,,2019-11-03 14:09
buy_recycled_co2,default,200,Default value without reference,,2019-11-03 14:18
buy_sell_use_savings,default,4000,Default value without reference,,2019-11-03 14:19
buy_sell_used_co2,default,2000,Default value without reference,,2019-11-03 14:19
car_annual_insurance,default,1000,Default value without reference,,2019-11-03 20:38
car_annual_service_electric,default,200,Default value without reference,,2019-11-03 17:01
car_annual_service_gas,default,500,Default value without reference,,2019-11-03 16:58
car_annual_service_hybrid,default,300,Default value without reference,,2019-11-03 17:37
car_BEV_federal_credit,default,7500,Default value without reference,,2019-11-03 17:01
car_BEV_local_rebate,default,0,Default value without reference,,2019-11-03 17:01
car_BEV_price,default,30000,Default value without reference,,2019-11-03 17:01
car_BEV_state_credit,default,2500,Default value without reference,,2019-11-03 17:01
car_default_miles,default,15000,Default value without reference,,2019-11-03 16:58
car_default_mpg,default,25,Default value without reference,,2019-11-03 16:58
car_default_price,default,22000,Default value without reference,,2019-11-03 17:43
car_diesel_price,default,24150,Mazda CX-5 List Price,,2019-11-03 16:58
car_electric_kwh_per_mile,default,0.25,Default value without reference,,2019-11-03 17:01
car_hybrid_price,default,26000,Default value without reference,,2019-11-03 17:40
car_new_diesel_mpg,default,40,Default value without reference,,2019-11-03 17:01
car_new_electric_mpg,default,100,Default value without reference,,2019-11-03 17:01
car_new_hybrid_mpg,default,40,Default value without reference,,2019-11-03 17:37
car_new_mpg,default,29,UCS: average new car MPG,,2019-11-03 17:01
car_PHEV_federal_credit,default,4500,Default value without reference,,2019-11-03 17:38
car_PHEV_local_rebate,default,0,Default value without reference,,2019-11-03 17:38
car_PHEV_price,default,27750,Default value without reference,,2019-11-03 17:38
car_PHEV_state_credit,default,0,Default value without reference,,2019-11-03 17:38
car_plugin_electric_fraction,default,0.8,Default value without reference,,2019-11-03 17:37
compost_co2,default,2000,Default value without reference,,2019-11-03 14:02
elec_bulb_average_ontime_hours,default,3,Default value without reference,,2019-10-27 13:23
elec_bulb_average_wattage,default,60,Default value without reference,,2019-10-27 13:23
elec_bulb_relative_LED_consumption,default,0.12,Default value without reference,,2019-10-27 13:23
elec_community_solar_average_savings,default,0.07,7% on utility bill from one company (range from 5-10%),,2019-11-02 01:23
elec_cooking_kwh_conventional,default,1144,Web: michaelbluejay.com/electricity/cooking.html assuming 30min/day 5-7days/week,,2019-10-27 10:50
elec_cooking_kwh_induction,default,801,Web: michaelbluejay.com/electricity/cooking.html assuming 30min/day 5-7days/week,,2019-10-27 10:49
elec_cooking_therm_gas,default,110,Web: michaelbluejay.com/electricity/cooking.html assuming 30min/day 5-7days/week,,2019-10-27 10:51
elec_cost_drying_rack,default,50,Default value without reference,,2019-11-04 12:44
elec_cost_heatpump_dryer_low,default,1250,Default value without reference,,2019-10-27 16:04
"elec_cost_heatpump_dryer_low""",default,1200,https://www.greenbuildingadvisor.com/article/heat-pump-clothes-dryers - LG dryer,,2019-10-27 11:28
